feature,keep_remove,core_extended_exclude,reason,leakage_risk,available_at_prediction,synthetic_derived_real_basis
weathering_class,keep,core,Surface weathering/laterite class; legitimate near-surface confounder noted in research basis.,low,yes,"synthetic, informed by regional weathering literature"
alteration_intensity,keep,core,Hydrothermal/pneumatolytic alteration proxy; documented process around ore bodies.,medium,yes,"synthetic, informed by literature on ore-related alteration"
geological_complexity_score,keep,core,Composite lithological/structural heterogeneity score; legitimate general geological input.,low,yes,synthetic composite
distance_to_fault_km,keep,core,"Distance to nearest synthetic fault trace; all values non-negative, standard structural predictor.",low,yes,"synthetic, informed by structural-geology literature"
distance_to_lineament_km,keep,core,Distance to nearest lineament; standard structural predictor.,low,yes,"synthetic, informed by structural-geology literature"
lineament_density_per_sq_km,keep,core,Local lineament density; standard structural predictor.,low,yes,"synthetic, informed by structural-geology literature"
lineament_intersection_density,keep,core,Local lineament-intersection density; standard structural predictor (intersections are classic fluid-pathway loci).,low,yes,"synthetic, informed by structural-geology literature"
shear_zone_proximity_km,keep,core,Distance to nearest shear/mylonite zone; directly supported by hydrothermal-emplacement literature for this belt.,low,yes,"synthetic, informed by structural-geology literature"
structural_complexity_score,keep,core,Composite polyphase-deformation proxy; supported by documented multi-generation folding/lineation literature.,low,yes,"synthetic, informed by structural-geology literature"
fold_hinge_proximity_km,keep,core,Distance to nearest fold-hinge trace; supported by literature on fold-controlled ore geometry (Kandri/Mansar).,low,yes,"synthetic, informed by structural-geology literature"
structural_orientation,keep,core,Dominant local structural trend; supported by documented multi-trend deformation history.,low,yes,"synthetic, informed by structural-geology literature"
distance_to_major_geological_contact_km,keep,core,Distance to nearest group-level contact; standard structural predictor.,low,yes,"synthetic, informed by structural-geology literature"
drainage_anomaly_score,keep,core,Deflected-drainage-near-faults proxy; standard structural-geomorphology concept.,low,yes,"synthetic, informed by structural-geology literature"
fold_presence,remove,exclude,"Binary flag is a deterministic 1:1 function of fold_position (0 exactly where fold_position=""not_applicable"", 1 otherwise, confirmed by cross-tab) - exact duplicate information already carried by the more informative fold_position categorical.",none,yes but redundant,derived (recoding of fold_position)
fold_position,keep,core,"See structural block above - kept in place of the redundant fold_presence since it retains hinge/closure vs limb distinction, which the literature ties to ore-body geometry.",low-medium,yes,"synthetic, informed by literature"
elevation_m,keep,core,"Synthetic DEM elevation; 30 rows (0.15%) had values outside a physically plausible range for this upland terrain (below sea level or >850 m) due to the documented outlier-injection mechanism and were clipped to [100, 850] m; all other values already realistic (mean ~446 m).",low,yes,"synthetic, corrected"
slope_deg,keep,core,"Synthetic slope; range 0-32 degrees is realistic, no correction needed.",low,yes,synthetic
aspect_deg,keep,core,"Synthetic aspect (0-360 deg); circular variable, kept for interpretability but see engineered aspect_sin/aspect_cos below for the ML-ready encoding.",low,yes,synthetic
curvature,keep,core,"Z-scored surface curvature; realistic range, no correction needed.",low,yes,synthetic
terrain_ruggedness,keep,core,TRI-like ruggedness index; 50 rows (0.25%) had impossible negative values (a ruggedness index cannot be negative) from the outlier-injection mechanism and were floored to 0.,low,yes,"synthetic, corrected"
local_relief_m,keep,core,"Local relief; realistic range, no correction needed.",low,yes,synthetic
drainage_density,keep,core,"Drainage density proxy; realistic range, no correction needed.",low,yes,synthetic
topographic_position_index,keep,core,"TPI-like index relative to 1km neighbourhood; realistic, no correction needed.",low,yes,synthetic
valley_or_ridge_class,keep,core,"Ridge/slope/valley class derived from TPI; consistent categorical, kept.",low,yes,derived from topographic_position_index
aspect_sin,keep (new engineered feature),core,Sine of aspect_deg. Aspect is circular (0 deg and 360 deg are identical); a raw degree value misleads distance-based/linear models. Added standard sin/cos encoding for correct ML use.,none,yes,engineered (deterministic transform of aspect_deg)
aspect_cos,keep (new engineered feature),core,"Cosine of aspect_deg, paired with aspect_sin for circular encoding.",none,yes,engineered (deterministic transform of aspect_deg)
B2,keep,core,"Raw Sentinel-2 reflectance band; realistic 0-1 range confirmed, no correction needed.",low,yes,synthetic (reflectance value)
B3,keep,core,"Raw Sentinel-2 reflectance band; realistic 0-1 range confirmed, no correction needed.",low,yes,synthetic (reflectance value)
B4,keep,core,"Raw Sentinel-2 reflectance band; realistic 0-1 range confirmed, no correction needed.",low,yes,synthetic (reflectance value)
B5,keep,core,"Raw Sentinel-2 reflectance band; realistic 0-1 range confirmed, no correction needed.",low,yes,synthetic (reflectance value)
B6,keep,core,"Raw Sentinel-2 reflectance band; realistic 0-1 range confirmed, no correction needed.",low,yes,synthetic (reflectance value)
B7,keep,core,"Raw Sentinel-2 reflectance band; realistic 0-1 range confirmed, no correction needed.",low,yes,synthetic (reflectance value)
B8,keep,core,"Raw Sentinel-2 reflectance band; realistic 0-1 range confirmed, no correction needed.",low,yes,synthetic (reflectance value)
B8A,keep,core,"Raw Sentinel-2 reflectance band; realistic 0-1 range confirmed, no correction needed.",low,yes,synthetic (reflectance value)
B11,keep,core,"SWIR-1 reflectance; 12 rows (0.06%) had impossible negative reflectance from the outlier-injection mechanism, floored to 0.005 (matching the designed floor used by all other bands). Downstream indices recomputed from the corrected value.",low,yes,"synthetic, corrected"
B12,keep,core,"SWIR-2 reflectance; 37 rows (0.185%) had impossible negative reflectance, floored to 0.005 for the same reason as B11. Downstream indices recomputed.",low,yes,"synthetic, corrected"
NDVI,keep,core,"Standard vegetation index = (B8-B4)/(B8+B4); recomputed post-correction, valid range.",low,yes,"synthetic, recomputed from corrected bands"
NDMI,keep,core,Standard moisture index = (B8-B11)/(B8+B11); recomputed post-correction.,low,yes,"synthetic, recomputed from corrected bands"
MNDWI,keep,core,Standard water index = (B3-B11)/(B3+B11); recomputed post-correction.,low,yes,"synthetic, recomputed from corrected bands"
BSI,keep,core,Bare Soil Index; recomputed post-correction.,low,yes,"synthetic, recomputed from corrected bands"
B4_B2_ratio,keep,core,Ferric-iron-oxide proxy ratio; recomputed post-correction; literature-supported diagnostic ratio.,low,yes,"synthetic, recomputed from corrected bands"
B11_B12_ratio,keep,core,Clay/alteration proxy ratio; recomputed post-correction; literature-supported diagnostic ratio.,low,yes,"synthetic, recomputed from corrected bands"
B12_B8_ratio,keep,core,Standard SWIR2/NIR ratio; recomputed post-correction.,low,yes,"synthetic, recomputed from corrected bands"
B11_B8_ratio,keep,core,Standard SWIR1/NIR ratio; recomputed post-correction.,low,yes,"synthetic, recomputed from corrected bands"
gossan_alteration_index,keep,core,Composite gossan/alteration proxy (B4+B11)/(B2+B8); recomputed post-correction; distinct from the two exact-duplicate indices removed below.,low,yes,"synthetic, recomputed from corrected bands"
red_edge_ratio_1,keep,core,B6/B5 red-edge ratio; standard vegetation/lithology-discrimination ratio.,low,yes,"synthetic, recomputed from corrected bands"
red_edge_ratio_2,keep,core,B7/B5 red-edge ratio; standard vegetation/lithology-discrimination ratio.,low,yes,"synthetic, recomputed from corrected bands"
iron_oxide_index,remove,exclude,"Exact duplicate of B4_B2_ratio (correlation = 1.0, identical by the dictionarys own definition). Kept as one column (B4_B2_ratio) to avoid duplicate/redundant features.",none,yes but redundant,derived (exact copy of B4_B2_ratio)
clay_mineral_index,remove,exclude,Exact duplicate of B11_B12_ratio (correlation = 1.0). Kept as one column (B11_B12_ratio).,none,yes but redundant,derived (exact copy of B11_B12_ratio)
spectral_mean,keep,extended,"Mean reflectance across all 10 bands; useful coarse summary, but largely redundant with the individual bands already in core (corr ~0.6-0.9 with several bands) - placed in EXTENDED as a convenience aggregate rather than core.",low,yes,"synthetic, recomputed where dependent on bands"
spectral_variance,keep,extended,Variance across the 10 bands; same reasoning as spectral_mean.,low,yes,"synthetic, recomputed where dependent on bands"
spectral_contrast,keep,extended,Max-min spread across the 10 bands; same reasoning.,low,yes,"synthetic, recomputed where dependent on bands"
spectral_anomaly_score,keep,extended,"Deviation of local spectral_mean from a 3km regional baseline; useful anomaly-detection feature but depends on a coarse regional baseline computation, placed in EXTENDED.",low,yes,"synthetic, recomputed where dependent on bands"
VV,keep,core,"VV backscatter; 12 rows (0.06%) had implausible values (up to +13 dB, more consistent with strong corner-reflector/urban targets than this rural terrain) from outlier-injection, clipped to a realistic [-28, 3] dB range for vegetated/rocky terrain.",low,yes,"synthetic, corrected"
VH,keep,core,"VH backscatter; 14 rows (0.07%) similarly implausible, clipped to [-35, -1] dB.",low,yes,"synthetic, corrected"
VV_VH_ratio,keep,core,VV minus VH (dB); recomputed post-correction.,low,yes,"synthetic, recomputed where dependent on VV/VH"
radar_backscatter_mean,keep,core,Mean of VV and VH; recomputed post-correction.,low,yes,"synthetic, recomputed where dependent on VV/VH"
radar_texture,keep,core,"Local radar-texture proxy; realistic range, no correction needed.",low,yes,"synthetic, recomputed where dependent on VV/VH"
radar_roughness_proxy,keep,core,"Surface-roughness proxy from radar+terrain+lithology; realistic, no correction needed.",low,yes,"synthetic, recomputed where dependent on VV/VH"
aster_vnir_swir_proxy,keep,core,Synthetic ASTER lithological-discrimination proxy; literature supports ASTERs complementary SWIR coverage for lithology/alteration mapping.,low,yes,"synthetic, informed by remote-sensing literature"
aster_thermal_lithology_proxy,keep,core,Synthetic thermal-inertia/lithology proxy; standard multisensor concept.,low,yes,"synthetic, informed by remote-sensing literature"
multisensor_spectral_anomaly_score,keep,core,"Composite optical+radar+ASTER anomaly score; legitimate fusion feature, directly motivated by the cited multisensor-fusion literature.",low,yes,"synthetic, informed by remote-sensing literature"
gravity_anomaly_proxy,keep,extended,"Synthetic gravity-anomaly proxy; general mineral-exploration-geophysics principle, explicitly flagged in the research-basis file as an assumption (no Sausar-belt-specific gravity survey was located) rather than a site-specific measurement. Kept in EXTENDED only, with this caveat carried into the data dictionary.","low-medium (assumption-level basis, not site-specific)",yes (if a real gravity survey is later substituted),"synthetic, general-principle assumption (see research-basis file)"
horizontal_gradient_magnitude_proxy,keep,extended,Edge-detector proxy on the synthetic gravity field; same assumption-level caveat as gravity_anomaly_proxy.,"low-medium (assumption-level basis, not site-specific)",yes (if a real gravity survey is later substituted),"synthetic, general-principle assumption (see research-basis file)"
regional_geophysical_anomaly_score,keep,extended,Composite geophysical anomaly score; same assumption-level caveat.,"low-medium (assumption-level basis, not site-specific)",yes (if a real gravity survey is later substituted),"synthetic, general-principle assumption (see research-basis file)"
manganese_mineral_association_score,keep,extended,"""Expert index"" built deliberately from a geology+structure-only subset of drivers plus independent noise (per generation metadata) so it correlates with (0.75) but does not equal the hidden truth. Legitimate composite knowledge feature, but high correlation means it should be interpreted as a summary of other core features rather than independent new information - kept in EXTENDED with this caveat.","medium-high (0.75 corr with hidden truth; legitimate composite but summarizes other included features, watch for double-counting in feature importance)",yes,"synthetic composite, informed by literature"
oxide_mineral_association_score,keep,extended,"Fe/Mn-oxide alteration association proxy; legitimate composite, moderate correlation.","medium-high (moderate; legitimate composite but summarizes other included features, watch for double-counting in feature importance)",yes,"synthetic composite, informed by literature"
gondite_association_score,keep,extended,Gondite (Mn-silicate rock) association proxy; directly supported by literature on gondite as a stratigraphic ore-horizon marker.,"medium-high (0.61 corr with hidden truth; legitimate composite but summarizes other included features, watch for double-counting in feature importance)",yes,"synthetic composite, informed by literature"
metamorphic_favourability_score,keep,extended,"Amphibolite-facies ""sweet spot"" favourability score; supported by literature on ore metamorphic grade.","medium-high (moderate; legitimate composite but summarizes other included features, watch for double-counting in feature importance)",yes,"synthetic composite, informed by literature"
mineral_system_compatibility_score,keep,extended,"Composite source-pathway-trap mineral-systems score; standard mineral-systems concept, but high correlation (0.67) with hidden truth since it summarizes several already-included drivers.","medium-high (0.67 corr with hidden truth; legitimate composite but summarizes other included features, watch for double-counting in feature importance)",yes,"synthetic composite, informed by literature"
legacy_report_evidence_score,keep,extended,"Proxy for density/quality of historical GSI/MOIL exploration-report coverage; legitimate real-world feature (report coverage is genuinely uneven), but 65 rows (0.33%) fell outside the stated 0-1 scale from outlier-injection and were clipped to [0,1]. Highest single-feature correlation with the positive label (0.47 per original generation QA) - flagged for extended use only, with an ablation check recommended.",medium-high (highest raw correlation with label; legitimate but should be ablation-tested),only for areas with legacy exploration coverage (near-zero/absent for a genuinely new candidate site),"synthetic, corrected"
legacy_report_manganese_mention,remove,exclude,"Binary flag for whether legacy reports mention manganese at this exact location. This is functionally very close to restating ""manganese has already been documented here"" - i.e. close to a proxy for the label itself rather than a geological predictor, and is undefined/always-zero for a genuinely unexplored candidate site. Removed as a leakage-risk feature.",high (near-restatement of documented occurrence),"no (would be trivially absent for any new, unexplored candidate location)","synthetic, correlated with label by construction"
legacy_report_structural_mention,keep,extended,"Whether legacy reports mention structural control; lower leakage risk than the manganese-mention flag since it reports structural observations rather than the mineral itself, but still only available for previously studied ground - extended only.",medium,only for areas with legacy exploration coverage,synthetic
legacy_report_host_rock_mention,keep,extended,Whether legacy reports mention host-rock description; same reasoning as structural_mention.,medium,only for areas with legacy exploration coverage,synthetic
mean_B4_100m,remove,exclude,"100m-window smoothed B4. Per the generation metadata itself, samples average ~0.9 km apart, so a 100m aggregate is nearly identical to the raw point value (corr 0.73 with raw B4) and adds little beyond noise reduction; removed as the least-informative tier of an otherwise-useful multiscale family (500m/1km tiers kept).",low,"yes, in principle, but adds minimal information over raw B4",synthetic (Gaussian-field smoothing)
std_B4_100m,remove,exclude,Companion std to mean_B4_100m; removed for the same reason (least-informative smoothing tier).,low,yes but low marginal value,synthetic
lineament_density_100m,remove,exclude,"100m-window smoothed lineament density; nearly identical to lineament_density_per_sq_km at this sampling density (corr 0.86); removed as redundant, the 500m tier is kept for genuinely different-scale information.",low,yes but low marginal value,synthetic
mean_B4_500m,keep,extended,"500m-window smoothed B4; genuinely different-scale information from raw B4 (corr 1.0 with mean_B4_100m suggests they collapse together at this sampling density in this specific generation run - see caveat in metadata; retained once, at the 500m tier, as the representative smoothed-B4 feature).",low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
std_B4_500m,keep,extended,500m-window B4 variability; retained as the representative local-heterogeneity feature for B4.,low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
mean_B8_500m,keep,extended,"500m-window smoothed B8 (NIR); retained, complements mean_B4_500m for a smoothed NDVI-like signal.",low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
mean_B8_1km,keep,extended,1km-window smoothed B8; retained for coarser-scale trend.,low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
std_B8_1km,keep,extended,1km-window B8 variability; retained.,low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
spectral_variance_500m,keep,extended,500m-window spectral heterogeneity; retained.,low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
lineament_density_500m,keep,extended,"500m-window smoothed lineament density; retained, meaningfully different scale from the raw per-km2 density.",low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
terrain_roughness_500m,keep,extended,"500m-window terrain roughness; retained as a genuinely different-scale terrain feature from the point-level terrain_ruggedness (corr 0.78, not a duplicate).",low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
terrain_roughness_1km,keep,extended,"1km-window terrain roughness; retained for coarser-scale trend (corr 0.94 with the 500m tier, still adds a genuinely coarser view).",low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
structural_complexity_500m,keep,extended,500m-window structural complexity; retained.,low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
structural_complexity_1km,keep,extended,1km-window structural complexity; retained.,low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
geology_similarity_1km,keep,extended,"1km-window geological homogeneity proxy; retained, no equivalent point-level feature exists.",low,yes (would require a real multi-scale raster pipeline at prediction time),"synthetic, Gaussian-field smoothing at stated bandwidth"
label_status,keep,exclude (target),"Primary PU-learning label (POSITIVE/UNCERTAIN/UNLABELLED). This is the prediction target, not an input feature. UNLABELLED must never be treated as a confirmed negative.",n/a (target),n/a,"real label-status concept, synthetic assignment logic"
manganese_associated,keep,"exclude (target, alternate framing)","Domain-worded restatement of label_status (1:1 identical mapping, confirmed by cross-tab). Kept for readability/reporting; use label_status as the canonical target to avoid duplicate target columns.",n/a (target),n/a,derived (recoding of label_status)
temporary_binary_label,remove,exclude,"Explicitly a threshold (>0.55) on the hidden ground truth probability - an experimental comparison label only, and directly derived from the value the project bans as a feature. Never to be used as a feature or as the primary target.",severe (direct threshold of hidden ground truth),n/a,derived directly from synthetic_ground_truth_probability
synthetic_ground_truth_probability,remove,exclude,"Hidden simulated true-prospectivity probability. Explicitly banned as a model input. Excluded from every deliverable file entirely (not even as an evaluation-only column in these files) per project instructions; retain the original source file separately, offline, purely for internal model-validation experiments (e.g. rank-correlation checks), never shipped to any trained model.",severe (this is essentially the answer key),n/a,hidden ground-truth simulation formula
feature_distribution_distance,keep,exclude (OOD support only),"Mahalanobis-like distance of a samples feature vector from the training-feature centroid/covariance. Retained as a support column for the required OUT-OF-STUDY-DOMAIN / LOW-APPLICABILITY check, but must never be used as a prospectivity-model input (it says nothing about manganese, only about how typical the feature vector is).","none for prospectivity (not a leakage risk, but wrong purpose if used as a predictor)",yes (recomputable for a new point given the trained centroid/covariance),derived (distance metric over the feature space)
synthetic_ood_score,remove,exclude,"Combined percentile-rank + region-edge-proximity OOD score. Explicitly banned as a model input by the project brief; also transductive (percentile rank depends on the full dataset it was computed against), so it cannot be validly recomputed for a genuinely new query point the way feature_distribution_distance can. Excluded entirely from deliverables; an OOD/applicability module should be built fresh from feature_distribution_distance instead.",severe (explicitly banned; also not well-defined for new points),no (percentile rank not well-defined for a single new point without recomputing against the whole reference set),"derived (percentile rank, transductive)"
data_provenance,remove,exclude,"Constant string marking every row as synthetic; pure metadata, zero variance, no predictive information.",none,n/a,metadata (constant)
