parameter,value
hidden_ground_truth_columns_removed,"temporary_binary_label and synthetic_ground_truth_probability were present in the source file as the simulator's internal answer key. Both are excluded from every deliverable in this revision, per the project brief's explicit instruction never to use hidden-ground-truth-derived fields as model inputs. Keep the ORIGINAL source CSV in a separate, clearly-labelled offline location if you still want to run internal recovery-of-signal checks (e.g. rank-correlation between a trained model's score and the hidden probability on held-out spatial blocks) - never expose that column to the model or ship it with the training data."
physical_bound_corrections_applied,"7 columns had a small number of rows (0.06%-0.33% each, 217 rows total out of 20000) pushed past a physically possible value by the source file's documented +/-(2.5-5.0) sigma outlier-injection mechanism. Each was clipped to a physically plausible bound; all other synthetic noise/outliers were left untouched. Columns and bounds: B11 and B12 reflectance floored at 0.005 (matches the floor already used by the other 8 bands; reflectance cannot be negative); VV clipped to [-28, 3] dB and VH to [-35, -1] dB (realistic Sentinel-1 backscatter range for vegetated/rocky terrain, source had unrealistic values up to +13 dB); elevation_m clipped to [100, 850] m (source had 5 rows below sea level and 4 rows above 1000 m, both implausible for this upland terrain); legacy_report_evidence_score clipped to its stated [0,1] scale (source had values from -0.76 to 1.37); terrain_ruggedness floored at 0 (a ruggedness index cannot be negative). All dependent derived columns (NDVI, NDMI, MNDWI, BSI, all band-ratio indices, spectral_mean/variance/contrast, VV_VH_ratio, radar_backscatter_mean) were recomputed from the corrected raw bands/VV/VH so every derived value is internally consistent with its own stated formula."
data_quality_flag_definition,New per-row column added to both feature files: 'ok' (19783 rows) or 'value_corrected_physical_bound' (217 rows) - flags rows where any of the 7 corrected columns above was clipped. Not intended as a model input; useful for QC reporting and optional down-weighting.
redundant_features_removed,"iron_oxide_index (exact duplicate of B4_B2_ratio, corr=1.0), clay_mineral_index (exact duplicate of B11_B12_ratio, corr=1.0), geological_domain (1:1 reworded duplicate of geological_group), fold_presence (deterministic function of fold_position), mean_B4_100m / std_B4_100m / lineament_density_100m (the finest-scale multiscale tier collapses almost onto the raw point value at this sampling density per the source generation's own caveat about sparse point spacing - the 500m/1km tiers of the same families are retained since they add genuinely different-scale information)."
leakage_and_circularity_flags,"manganese_bearing_horizon_indicator is realistic stratigraphic information but is the second-highest-weight driver in the source's hidden-truth formula - placed in EXTENDED only, excluded from CORE, and flagged high risk in the audit file; run an ablation (with/without) before trusting reported accuracy. legacy_report_manganese_mention was removed entirely (too close to restating the label; always undefined/zero for a genuinely unexplored new site). legacy_report_evidence_score, distance_to_nearest_known_manganese_occurrence_km, and the five mineralogical/knowledge composite scores are legitimate real-world mineral-prospectivity-mapping inputs but each carries a documented moderate-to-high correlation with the hidden simulated truth by construction - see feature_audit.csv leakage_risk column for each, and always report model performance both with and without the highest-risk subset."
state_district_administrative_columns_removed,"state and district were both derived in the source generation by a single hard latitude threshold (21.62N) and carry no independent geological information beyond latitude, which is already a feature; removed to avoid the model learning an arbitrary administrative split instead of geology. study_area was removed for a related reason - its six categories are corridor bins built around the same 8 known-deposit anchors already captured by distance_to_nearest_known_manganese_occurrence_km, and the category names reference specific known deposits, which is undefined for a genuinely new candidate location."
known_simplifications_carried_over,"From the original generation (unchanged): fault/lineament/shear-zone/fold-hinge networks are synthetic random line-segment sets constrained to documented strike directions, not digitised from an actual GSI structural map; gravity/geophysical proxies follow a general mineral-exploration principle (dense ore -> gravity high) rather than a Sausar-belt-specific survey (flagged assumption-level in research-basis file, and again in this revision's feature_audit)."
recommended_ml_uses,"Random Forest / XGBoost / PU-learning (elkanoto, nnPU) on label_status (POSITIVE vs UNLABELLED, treating UNLABELLED as unlabeled not negative); spatial-blocked cross-validation using spatial_block_id or regional_zone_id as the CV group (never random row-wise CV); a separate OOD/applicability-domain model (isolation forest, Mahalanobis distance, or one-class SVM) fit on the core or extended feature matrix and referenced against feature_distribution_distance, used to return OUT OF STUDY DOMAIN / LOW APPLICABILITY for a new lat/lon whose extracted feature vector falls far outside this training distribution (e.g. West Bengal); always run a feature-importance/ablation pass separating the high-leakage-risk-flagged features (see feature_audit.csv) from the rest to understand how much of any reported accuracy depends on them versus on subtler structural/spectral signal."
core_vs_extended_recommendation,"Use CORE for the first prototype model and for any 'genuinely new, sparsely-studied location' demo, since every core feature is something a real satellite+DEM+basic-geological-map pipeline could extract for an arbitrary new coordinate. Use EXTENDED for a second, more powerful model once the project has real (or better-justified synthetic) geophysical and legacy-report data, and always report EXTENDED-model results alongside an ablation that removes manganese_bearing_horizon_indicator and legacy_report_evidence_score to show how much the extra accuracy depends on already-privileged information."
output_files,sausar_manganese_core_features.csv; sausar_manganese_extended_features.csv; sausar_manganese_feature_audit.csv; sausar_manganese_data_dictionary.csv; sausar_manganese_metadata.csv (this file)
not_field_data_disclaimer,"All values in every deliverable file remain SYNTHETIC, generated for prototype/model-development purposes only. Nothing in this revision constitutes real MOIL field data, a real gravity survey, or a real legacy-report archive. Do not present model outputs trained on this data as verified manganese detections."
software_used_for_this_revision,"Python 3, pandas, numpy"
